dataset_name,ari,nmi,ami,aom
Muraro,0.8965740936288165,0.8489125210469379,0.8476000880013554,0.8901375021900848
Quake_10x_Bladder,0.9907121590604503,0.9802491971339385,0.980206699762565,0.9985132498659093
Quake_10x_Limb_Muscle,0.9820958731269697,0.9647435225503391,0.9646726489091328,0.9881838781021398
Quake_10x_Spleen,0.9149150067151806,0.8534702897518553,0.8533165965935975,0.9570316182029781
Quake_Smart-seq2_Diaphragm,0.9709691171558026,0.9503750535638571,0.9499916605329074,0.9869678250916889
Quake_Smart-seq2_Limb_Muscle,0.9687412322645977,0.9469872195390685,0.9465165018854631,0.991417433932063
Quake_Smart-seq2_Lung,0.7313918110182338,0.8163092725218408,0.8130906090505601,0.9204236339632857
Quake_Smart-seq2_Trachea,0.6102110070603641,0.7030466905529132,0.701969303545965,0.917092729707411
Adam,0.832525076436162,0.8333609085132824,0.832802778949646,0.8951456100377672
Romanov,0.6874582917060934,0.6798938990260311,0.678561931618983,0.8904583236716209
Young,0.5917230343577269,0.7525474976206026,0.7513098834247138,0.8389971070694873
